chapter_name,source,text
What is OLS?,ML_notes_csv,"Support Vector Machine is a supervised learning algorithm which can be used for regression as well as classification problems. So if we use it for regression problems, then it is termed as Support Vector Regression. Support Vector Regression is a regression algorithm which works for continuous variables. Below are some keywords which are used inSupport Vector Regression: Kernel:It is a function used to map a lower-dimensional data into higher dimensional data.Hyperplane:In general SVM, it is a separation line between two classes, but in SVR, it is a line which helps to predict the continuous variables and cover most of the datapoints.Boundary line:Boundary lines are the two lines apart from hyperplane, which creates a margin for datapoints.Support vectors:Support vectors are the datapoints which are nearest to the hyperplane and opposite class. In SVR, we always try to determine a hyperplane with a maximum margin, so that maximum number of datapoints are covered in that margin.The main goal of SVR is to consider the maximum datapoints within the boundary lines and the hyperplane (best-fit line) must contain a maximum number of datapoints. Consider the below image: Here, the blue line is called hyperplane, and the other two lines are known as boundary lines."
What are MAE and MAPE?,ML_notes_csv,"This is the simplest metric used to analyze the loss over the whole dataset. As we all know the error is basically the difference between the predicted and actual values. Therefore MAE is defined as the average of the errors calculated. Here we calculate the modulus of the error, perform the summation and then divide the result by the number of data points. It is a positive quantity and is not concerned about the direction. The formula of MAE is given by Output:"
Why do we square the residuals instead of using modulus?,ML_notes_csv,"This is the simplest metric used to analyze the loss over the whole dataset. As we all know the error is basically the difference between the predicted and actual values. Therefore MAE is defined as the average of the errors calculated. Here we calculate the modulus of the error, perform the summation and then divide the result by the number of data points. It is a positive quantity and is not concerned about the direction. The formula of MAE is given by Output:"
List down the techniques that are adopted to find the parameters of the linear regression line which best fits the model.,ML_notes_csv,"When working with linear regression, our main goal is to find the best fit line that means the error between predicted values and actual values should be minimized. The best fit line will have the least error. The different values for weights or the coefficient of lines (a0, a1) gives a different line of regression, so we need to calculate the best values for a0and a1to find the best fit line, so to calculate this we use cost function."
Which evaluation metric should you prefer to use for a dataset having a lot of outliers in it?,ML_notes_csv,"Outliers are extreme values that deviate significantly from the majority of the data. They can negatively impact the analysis and model performance. Techniques such as clustering, interpolation, or transformation can be used to handle outliers. To check the outliers, We generally use a box plot. A box plot, also referred to as a box-and-whisker plot, is a graphical representation of a datasets distribution. It shows a variables median, quartiles, and potential outliers. The line inside the box denotes the median, while the box itself denotes the interquartile range (IQR). The whiskers extend to the most extreme non-outlier values within 1.5 times the IQR. Individual points beyond the whiskers are considered potential outliers. A box plot offers an easy-to-understand overview of the range of the data and makes it possible to identify outliers or skewness in the distribution. Lets plot the box plot for Age column data. Output: As we can see from the above Box and whisker plot, Our age dataset has outliers values. The values less than 5 and more than 55 are outliers. Output: Similarly, we can remove the outliers of the remaining columns."
Explain the normal form equation of the linear regression.,ML_notes_csv,"The Simple Linear Regression model can be represented using the below equation: Where, a0= It is the intercept of the Regression line (can be obtained putting x=0)a1= It is the slope of the regression line, which tells whether the line is increasing or decreasing. = The error term. (For a good model it will be negligible)"
When should it be preferred to the Gradient Descent method instead of the Normal Equation in Linear Regression Algorithm?,ML_notes_csv,Gradient descent is used to minimize the MSE by calculating the gradient of the cost function.A regression model uses gradient descent to update the coefficients of the line by reducing the cost function.It is done by a random selection of values of coefficient and then iteratively update the values to reach the minimum cost function.
What are R-squared and Adjusted R-squared?,ML_notes_csv,"The Goodness of fit determines how the line of regression fits the set of observations. The process of finding the best model out of various models is calledoptimization. It can be achieved by below method: 1. R-squared method: R-squared is a statistical method that determines the goodness of fit.It measures the strength of the relationship between the dependent and independent variables on a scale of 0-100%.The high value of R-square determines the less difference between the predicted values and actual values and hence represents a good model.It is also called acoefficient of determination,orcoefficient of multiple determinationfor multiple regression.It can be calculated from the below formula:"
What are the flaws in R-squared?,ML_notes_csv,"The Goodness of fit determines how the line of regression fits the set of observations. The process of finding the best model out of various models is calledoptimization. It can be achieved by below method: 1. R-squared method: R-squared is a statistical method that determines the goodness of fit.It measures the strength of the relationship between the dependent and independent variables on a scale of 0-100%.The high value of R-square determines the less difference between the predicted values and actual values and hence represents a good model.It is also called acoefficient of determination,orcoefficient of multiple determinationfor multiple regression.It can be calculated from the below formula:"
What is Multicollinearity?,ML_notes_csv,The dependent variable must be categorical in nature.The independent variable should not have multi-collinearity.
What is Heteroscedasticity? How to detect it?,ML_notes_csv,"Network Latency: The communication between the devices and the central server can be a bottleneck and may add latency to the training process. Heterogeneous devices: The devices can be heterogeneous in terms of hardware and software, which can make it difficult to ensure the compatibility and consistency of the models. Data Quality: The quality of data can vary across the devices, which can lead to poor model performance."
What are the disadvantages of the linear regression Algorithm?,ML_notes_csv,There are mainly two applications of Multiple Linear Regression: Effectiveness of Independent variable on prediction:Predicting the impact of changes:
What is VIF? How do you calculate it?,ML_notes_csv,"The F1 score represents the measurement of a model's performance. It is referred to as a weighted average of the precision and recall of a model. The results tending to1are considered as the best, and those tending to0are the worst. It could be used in classification tests, where true negatives don't matter much."
Is it possible to apply Linear Regression for Time Series Analysis?,ML_notes_csv,"Linear regression is a statistical regression method which is used for predictive analysis.It is one of the very simple and easy algorithms which works on regression and shows the relationship between the continuous variables.It is used for solving the regression problem in machine learning.Linear regression shows the linear relationship between the independent variable (X-axis) and the dependent variable (Y-axis), hence called linear regression.If there is only one input variable (x), then such linear regression is calledsimple linear regression. And if there is more than one input variable, then such linear regression is calledmultiple linear regression.The relationship between variables in the linear regression model can be explained using the below image. Here we are predicting the salary of an employee on the basis ofthe year of experience. Below is the mathematical equation for Linear regression: Here, Y = dependent variables (target variables),X= Independent variables (predictor variables),a and b are the linear coefficients Some popular applications of linear regression are: Analyzing trends and sales estimatesSalary forecastingReal estate predictionArriving at ETAs in traffic."
What do you mean by the Logistic Regression?,ML_notes_csv,"Logistic regression is another supervised learning algorithm which is used to solve the classification problems. Inclassification problems, we have dependent variables in a binary or discrete format such as 0 or 1.Logistic regression algorithm works with the categorical variable such as 0 or 1, Yes or No, True or False, Spam or not spam, etc.It is a predictive analysis algorithm which works on the concept of probability.Logistic regression is a type of regression, but it is different from the linear regression algorithm in the term how they are used.Logistic regression usessigmoid functionor logistic function which is a complex cost function. This sigmoid function is used to model the data in logistic regression. The function can be represented as: f(x)= Output between the 0 and 1 value.x= input to the functione= base of natural logarithm. When we provide the input values (data) to the function, it gives the S-curve as follows: It uses the concept of threshold levels, values above the threshold level are rounded up to 1, and values below the threshold level are rounded up to 0. There are three types of logistic regression: Binary(0/1, pass/fail)Multi(cats, dogs, lions)Ordinal(low, medium, high)"
What are the different types of Logistic Regression?,ML_notes_csv,"On the basis of the categories, Logistic Regression can be classified into three types: Binomial:In binomial Logistic regression, there can be only two possible types of the dependent variables, such as 0 or 1, Pass or Fail, etc.Multinomial:In multinomial Logistic regression, there can be 3 or more possible unordered types of the dependent variable, such as ""cat"", ""dogs"", or ""sheep""Ordinal:In ordinal Logistic regression, there can be 3 or more possible ordered types of dependent variables, such as ""low"", ""Medium"", or ""High""."
Explain the intuition behind Logistic Regression in detail.,ML_notes_csv,"Logistic regression is another supervised learning algorithm which is used to solve the classification problems. Inclassification problems, we have dependent variables in a binary or discrete format such as 0 or 1.Logistic regression algorithm works with the categorical variable such as 0 or 1, Yes or No, True or False, Spam or not spam, etc.It is a predictive analysis algorithm which works on the concept of probability.Logistic regression is a type of regression, but it is different from the linear regression algorithm in the term how they are used.Logistic regression usessigmoid functionor logistic function which is a complex cost function. This sigmoid function is used to model the data in logistic regression. The function can be represented as: f(x)= Output between the 0 and 1 value.x= input to the functione= base of natural logarithm. When we provide the input values (data) to the function, it gives the S-curve as follows: It uses the concept of threshold levels, values above the threshold level are rounded up to 1, and values below the threshold level are rounded up to 0. There are three types of logistic regression: Binary(0/1, pass/fail)Multi(cats, dogs, lions)Ordinal(low, medium, high)"
What are the odds?,ML_notes_csv,"Now we will check the accuracy of the Naive Bayes classifier using the Confusion matrix. Below is the code for it: Output: As we can see in the above confusion matrix output, there are 7+3= 10 incorrect predictions, and 65+25=90 correct predictions."
What factors can attribute to the popularity of Logistic Regression?,ML_notes_csv,"Logistic regression is one of the most popular Machine Learning algorithms, which comes under the Supervised Learning technique. It is used for predicting the categorical dependent variable using a given set of independent variables.Logistic regression predicts the output of a categorical dependent variable. Therefore the outcome must be a categorical or discrete value. It can be either Yes or No, 0 or 1, true or False, etc. but instead of giving the exact value as 0 and 1,it gives the probabilistic values which lie between 0 and 1.Logistic Regression is much similar to the Linear Regression except that how they are used. Linear Regression is used for solving Regression problems, whereasLogistic regression is used for solving the classification problems.In Logistic regression, instead of fitting a regression line, we fit an ""S"" shaped logistic function, which predicts two maximum values (0 or 1).The curve from the logistic function indicates the likelihood of something such as whether the cells are cancerous or not, a mouse is obese or not based on its weight, etc.Logistic Regression is a significant machine learning algorithm because it has the ability to provide probabilities and classify new data using continuous and discrete datasets.Logistic Regression can be used to classify the observations using different types of data and can easily determine the most effective variables used for the classification. The below image is showing the logistic function:"
Is the decision boundary Linear or Non-linear in the case of a Logistic Regression model?,ML_notes_csv,"The Logistic regression equation can be obtained from the Linear Regression equation. The mathematical steps to get Logistic Regression equations are given below: We know the equation of the straight line can be written as: In Logistic Regression y can be between 0 and 1 only, so for this let's divide the above equation by (1-y): But we need range between -infinity to +infinity, then take logarithm of the equation it will become: The above equation is the final equation for Logistic Regression."
What is the Impact of Outliers on Logistic Regression?,ML_notes_csv,"Dependent Variable:The main factor in Regression analysis which we want to predict or understand is called the dependent variable. It is also calledtarget variable.Independent Variable:The factors which affect the dependent variables or which are used to predict the values of the dependent variables are called independent variable, also called as apredictor.Outliers:Outlier is an observation which contains either very low value or very high value in comparison to other observed values. An outlier may hamper the result, so it should be avoided.Multicollinearity:If the independent variables are highly correlated with each other than other variables, then such condition is called Multicollinearity. It should not be present in the dataset, because it creates problem while ranking the most affecting variable.Underfitting and Overfitting:If our algorithm works well with the training dataset but not well with test dataset, then such problem is calledOverfitting. And if our algorithm does not perform well even with training dataset, then such problem is calledunderfitting."
What is the difference between the outputs of the Logistic model and the Logistic function?,ML_notes_csv,"Logistic regression is another supervised learning algorithm which is used to solve the classification problems. Inclassification problems, we have dependent variables in a binary or discrete format such as 0 or 1.Logistic regression algorithm works with the categorical variable such as 0 or 1, Yes or No, True or False, Spam or not spam, etc.It is a predictive analysis algorithm which works on the concept of probability.Logistic regression is a type of regression, but it is different from the linear regression algorithm in the term how they are used.Logistic regression usessigmoid functionor logistic function which is a complex cost function. This sigmoid function is used to model the data in logistic regression. The function can be represented as: f(x)= Output between the 0 and 1 value.x= input to the functione= base of natural logarithm. When we provide the input values (data) to the function, it gives the S-curve as follows: It uses the concept of threshold levels, values above the threshold level are rounded up to 1, and values below the threshold level are rounded up to 0. There are three types of logistic regression: Binary(0/1, pass/fail)Multi(cats, dogs, lions)Ordinal(low, medium, high)"
How do we handle categorical variables in Logistic Regression?,ML_notes_csv,"On the basis of the categories, Logistic Regression can be classified into three types: Binomial:In binomial Logistic regression, there can be only two possible types of the dependent variables, such as 0 or 1, Pass or Fail, etc.Multinomial:In multinomial Logistic regression, there can be 3 or more possible unordered types of the dependent variable, such as ""cat"", ""dogs"", or ""sheep""Ordinal:In ordinal Logistic regression, there can be 3 or more possible ordered types of dependent variables, such as ""low"", ""Medium"", or ""High""."
"Which algorithm is better in the case of outliers present in the dataset i.e., Logistic Regression or SVM?",ML_notes_csv,SVM stands forSupport Vector Machine. SVM are supervised learning models with an associated learning algorithm which analyze the data used for classification and regression analysis. The classification methods that SVM can handle are: Combining binary classifiersModifying binary to incorporate multiclass learning
What are the assumptions made in Logistic Regression?,ML_notes_csv,"The Logistic regression equation can be obtained from the Linear Regression equation. The mathematical steps to get Logistic Regression equations are given below: We know the equation of the straight line can be written as: In Logistic Regression y can be between 0 and 1 only, so for this let's divide the above equation by (1-y): But we need range between -infinity to +infinity, then take logarithm of the equation it will become: The above equation is the final equation for Logistic Regression."
Can we solve the multiclass classification problems using Logistic Regression? If Yes then How?,ML_notes_csv,"On the basis of the categories, Logistic Regression can be classified into three types: Binomial:In binomial Logistic regression, there can be only two possible types of the dependent variables, such as 0 or 1, Pass or Fail, etc.Multinomial:In multinomial Logistic regression, there can be 3 or more possible unordered types of the dependent variable, such as ""cat"", ""dogs"", or ""sheep""Ordinal:In ordinal Logistic regression, there can be 3 or more possible ordered types of dependent variables, such as ""low"", ""Medium"", or ""High""."
Discuss the space complexity of Logistic Regression.,ML_notes_csv,"Logistic regression is another supervised learning algorithm which is used to solve the classification problems. Inclassification problems, we have dependent variables in a binary or discrete format such as 0 or 1.Logistic regression algorithm works with the categorical variable such as 0 or 1, Yes or No, True or False, Spam or not spam, etc.It is a predictive analysis algorithm which works on the concept of probability.Logistic regression is a type of regression, but it is different from the linear regression algorithm in the term how they are used.Logistic regression usessigmoid functionor logistic function which is a complex cost function. This sigmoid function is used to model the data in logistic regression. The function can be represented as: f(x)= Output between the 0 and 1 value.x= input to the functione= base of natural logarithm. When we provide the input values (data) to the function, it gives the S-curve as follows: It uses the concept of threshold levels, values above the threshold level are rounded up to 1, and values below the threshold level are rounded up to 0. There are three types of logistic regression: Binary(0/1, pass/fail)Multi(cats, dogs, lions)Ordinal(low, medium, high)"
Discuss the Test or Runtime complexity of Logistic Regression.,ML_notes_csv,"To understand the implementation of Logistic Regression in Python, we will use the below example: Example:There is a dataset given which contains the information of various users obtained from the social networking sites. There is a car making company that has recently launched a new SUV car. So the company wanted to check how many users from the dataset, wants to purchase the car. For this problem, we will build a Machine Learning model using the Logistic regression algorithm. The dataset is shown in the below image. In this problem, we will predict thepurchased variable (Dependent Variable)by usingage and salary (Independent variables). Steps in Logistic Regression:To implement the Logistic Regression using Python, we will use the same steps as we have done in previous topics of Regression. Below are the steps: Data Pre-processing stepFitting Logistic Regression to the Training setPredicting the test resultTest accuracy of the result(Creation of Confusion matrix)Visualizing the test set result. 1. Data Pre-processing step:In this step, we will pre-process/prepare the data so that we can use it in our code efficiently. It will be the same as we have done in Data pre-processing topic. The code for this is given below: By executing the above lines of code, we will get the dataset as the output. Consider the given image: Now, we will extract the dependent and independent variables from the given dataset. Below is the code for it: In the above code, we have taken 2, 3 for x because our independent variables are age and salary, which are at index 2, 3. And we have taken 4 for y variable because our dependent variable is at index 4. The output will be: Now we will split the dataset into a training set and test set. Below is the code for it: The output for this is given below: For test set: For training set: In logistic regression, we will do feature scaling because we want accurate result of predictions. Here we will only scale the independent variable because dependent variable have only 0 and 1 values. Below is the code for it: The scaled output is given below: 2. Fitting Logistic Regression to the Training set: We have well prepared our dataset, and now we will train the dataset using the training set. For providing training or fitting the model to the training set, we will import theLogisticRegressionclass of thesklearnlibrary. After importing the class, we will create a classifier object and use it to fit the model to the logistic regression. Below is the code for it: Output:By executing the above code, we will get the below output: Out5: Hence our model is well fitted to the training set. 3. Predicting the Test Result Our model is well trained on the training set, so we will now predict the result by using test set data. Below is the code for it: In the above code, we have created a y_pred vector to predict the test set result. Output:By executing the above code, a new vector (y_pred) will be created under the variable explorer option. It can be seen as: The above output image shows the corresponding predicted users who want to purchase or not purchase the car. 4. Test Accuracy of the result Now we will create the confusion matrix here to check the accuracy of the classification. To create it, we need to import theconfusion_matrixfunction of the sklearn library. After importing the function, we will call it using a new variablecm. The function takes two parameters, mainlyy_true( the actual values) andy_pred(the targeted value return by the classifier). Below is the code for it: Output: By executing the above code, a new confusion matrix will be created. Consider the below image: We can find the accuracy of the predicted result by interpreting the confusion matrix. By above output, we can interpret that 65+24= 89 (Correct Output) and 8+3= 11(Incorrect Output). 5. Visualizing the training set result Finally, we will visualize the training set result. To visualize the result, we will useListedColormapclass of matplotlib library. Below is the code for it: In the above code, we have imported theListedColormapclass of Matplotlib library to create the colormap for visualizing the result. We have created two new variablesx_setandy_setto replacex_trainandy_train. After that, we have used thenm.meshgridcommand to create a rectangular grid, which has a range of -1(minimum) to 1 (maximum). The pixel points we have taken are of 0.01 resolution. To create a filled contour, we have usedmtp.contourfcommand, it will create regions of provided colors (purple and green). In this function, we have passed theclassifier.predictto show the predicted data points predicted by the classifier. Output:By executing the above code, we will get the below output: The graph can be explained in the below points: In the above graph, we can see that there are someGreen pointswithin the green region andPurple pointswithin the purple region.All these data points are the observation points from the training set, which shows the result for purchased variables.This graph is made by using two independent variables i.e.,Age on the x-axisandEstimated salary on the y-axis.Thepurple point observationsare for which purchased (dependent variable) is probably 0, i.e., users who did not purchase the SUV car.Thegreen point observationsare for which purchased (dependent variable) is probably 1 means user who purchased the SUV car.We can also estimate from the graph that the users who are younger with low salary, did not purchase the car, whereas older users with high estimated salary purchased the car.But there are some purple points in the green region (Buying the car) and some green points in the purple region(Not buying the car). So we can say that younger users with a high estimated salary purchased the car, whereas an older user with a low estimated salary did not purchase the car. The goal of the classifier: We have successfully visualized the training set result for the logistic regression, and our goal for this classification is to divide the users who purchased the SUV car and who did not purchase the car. So from the output graph, we can clearly see the two regions (Purple and Green) with the observation points. The Purple region is for those users who didn't buy the car, and Green Region is for those users who purchased the car. Linear Classifier: As we can see from the graph, the classifier is a Straight line or linear in nature as we have used the Linear model for Logistic Regression. In further topics, we will learn for non-linear Classifiers. Visualizing the test set result: Our model is well trained using the training dataset. Now, we will visualize the result for new observations (Test set). The code for the test set will remain same as above except that here we will usex_test and y_testinstead ofx_train and y_train. Below is the code for it: Output: The above graph shows the test set result. As we can see, the graph is divided into two regions (Purple and Green). And Green observations are in the green region, and Purple observations are in the purple region. So we can say it is a good prediction and model. Some of the green and purple data points are in different regions, which can be ignored as we have already calculated this error using the confusion matrix (11 Incorrect output). Hence our model is pretty good and ready to make new predictions for this classification problem."
Why is Logistic Regression termed as Regression and not classification?,ML_notes_csv,"Logistic regression is one of the most popular Machine Learning algorithms, which comes under the Supervised Learning technique. It is used for predicting the categorical dependent variable using a given set of independent variables.Logistic regression predicts the output of a categorical dependent variable. Therefore the outcome must be a categorical or discrete value. It can be either Yes or No, 0 or 1, true or False, etc. but instead of giving the exact value as 0 and 1,it gives the probabilistic values which lie between 0 and 1.Logistic Regression is much similar to the Linear Regression except that how they are used. Linear Regression is used for solving Regression problems, whereasLogistic regression is used for solving the classification problems.In Logistic regression, instead of fitting a regression line, we fit an ""S"" shaped logistic function, which predicts two maximum values (0 or 1).The curve from the logistic function indicates the likelihood of something such as whether the cells are cancerous or not, a mouse is obese or not based on its weight, etc.Logistic Regression is a significant machine learning algorithm because it has the ability to provide probabilities and classify new data using continuous and discrete datasets.Logistic Regression can be used to classify the observations using different types of data and can easily determine the most effective variables used for the classification. The below image is showing the logistic function:"
Discuss the Train complexity of Logistic Regression.,ML_notes_csv,The possibility of overfitting occurs when the criteria used for training the model is not as per the criteria used to judge the efficiency of a model.
Why can’t we use Mean Square Error (MSE) as a cost function for Logistic Regression?,ML_notes_csv,Gradient descent is used to minimize the MSE by calculating the gradient of the cost function.A regression model uses gradient descent to update the coefficients of the line by reducing the cost function.It is done by a random selection of values of coefficient and then iteratively update the values to reach the minimum cost function.
Why can’t we use Linear Regression in place of Logistic Regression for Binary classification?,ML_notes_csv,"Logistic regression is one of the most popular Machine Learning algorithms, which comes under the Supervised Learning technique. It is used for predicting the categorical dependent variable using a given set of independent variables.Logistic regression predicts the output of a categorical dependent variable. Therefore the outcome must be a categorical or discrete value. It can be either Yes or No, 0 or 1, true or False, etc. but instead of giving the exact value as 0 and 1,it gives the probabilistic values which lie between 0 and 1.Logistic Regression is much similar to the Linear Regression except that how they are used. Linear Regression is used for solving Regression problems, whereasLogistic regression is used for solving the classification problems.In Logistic regression, instead of fitting a regression line, we fit an ""S"" shaped logistic function, which predicts two maximum values (0 or 1).The curve from the logistic function indicates the likelihood of something such as whether the cells are cancerous or not, a mouse is obese or not based on its weight, etc.Logistic Regression is a significant machine learning algorithm because it has the ability to provide probabilities and classify new data using continuous and discrete datasets.Logistic Regression can be used to classify the observations using different types of data and can easily determine the most effective variables used for the classification. The below image is showing the logistic function:"
